utterance,paraphrase,list_of_slots,error_category,,
I want to book a  restaurant   not far  from  our college .,I want to book a restaurant not far from our college .',"['restaurant || restaurant_type', 'not far || spatial_relation', 'our college || poi']","duplication, punctuation",,
I want to book a  restaurant   not far  from  our college .,I want to book a restaurant not far from our college .,"['restaurant || restaurant_type', 'not far || spatial_relation', 'our college || poi']",duplication,,
I want to book a  restaurant   not far  from  our college .,I wants to book a restaurant not far from our college .,"['restaurant || restaurant_type', 'not far || spatial_relation', 'our college || poi']",grammar,,
I want to book a  restaurant   not far  from  our college .,I want to book a restaurant not far from our university .,"['restaurant || restaurant_type', 'not far || spatial_relation', 'our college || poi']",correct,,
book a  restaurant  that serves  rolled oyster  in  Merkel,booking a restaurant serving rolled ostrich in Merkel.,"['restaurant || restaurant_type', 'rolled oyster || served_dish', 'Merkel || city']",homonym,,
book a  restaurant  that serves  rolled oyster  in  Merkel,booking a restaurant serving rolled ostrich in Merkel,"['restaurant || restaurant_type', 'rolled oyster || served_dish', 'Merkel || city']",homonym,,
book a  restaurant  that serves  rolled oyster  in  Merkel,booking a restaurant serving rolled ostriche in Merkel,"['restaurant || restaurant_type', 'rolled oyster || served_dish', 'Merkel || city']",homonym,,
book a  restaurant  that serves  rolled oyster  in  Merkel,booked a restaurant serving rolled ostrich in Merkel,"['restaurant || restaurant_type', 'rolled oyster || served_dish', 'Merkel || city']","grammar, homonym, answering",,
book a  restaurant  that serves  rolled oyster  in  Merkel,book up a restaurant serving rolled ostrich in Merkel,"['restaurant || restaurant_type', 'rolled oyster || served_dish', 'Merkel || city']",homonym,,
I want to book a  restaurant  for  3  people in  Ohio .,I want to book a restaurant for 3 people in Ohio,"['restaurant || restaurant_type', '3 || party_size_number', 'Ohio || state']",duplication,,
I want to book a  restaurant  for  3  people in  Ohio .,I want to book a restaurant for 3 people in Ohio ).,"['restaurant || restaurant_type', '3 || party_size_number', 'Ohio || state']","duplication, punctuation",,
I want to book a  restaurant  for  3  people in  Ohio .,I want to book a restaurant for 3 people in Ohio.,"['restaurant || restaurant_type', '3 || party_size_number', 'Ohio || state']",duplication,,
I want to book a  restaurant  for  3  people in  Ohio .,I want to book a restaurant for 3 people in Ohio .,"['restaurant || restaurant_type', '3 || party_size_number', 'Ohio || state']",duplication,,
I want to book a  restaurant  for  3  people in  Ohio .,I want to book a restaurant for three people in Ohio .,"['restaurant || restaurant_type', '3 || party_size_number', 'Ohio || state']",correct,,
book a party of  4  for a  cafe   rated best,booking a 4 party for the best-rated café,"['4 || party_size_number', 'cafe || restaurant_type', 'rated best || sort']",correct,,
book a party of  4  for a  cafe   rated best,booking a 4 party for a best rated café,"['4 || party_size_number', 'cafe || restaurant_type', 'rated best || sort']",spelling,,
book a party of  4  for a  cafe   rated best,booking a 4 party for a rated cafe,"['4 || party_size_number', 'cafe || restaurant_type', 'rated best || sort']",correct,,
book a party of  4  for a  cafe   rated best,booking a 4 party for the best rated cafe,"['4 || party_size_number', 'cafe || restaurant_type', 'rated best || sort']",spelling,,
book a party of  4  for a  cafe   rated best,booking a 4 party for a best rated cafe,"['4 || party_size_number', 'cafe || restaurant_type', 'rated best || sort']",spelling,,
Book me a reservation for  six  for  Crown Burgers  in  Lebanon,Buy me for six Crown Burgers in Lebanon.,"['six || party_size_number', 'Crown Burgers || restaurant_name', 'Lebanon || country']",semantic,,
Book me a reservation for  six  for  Crown Burgers  in  Lebanon,Buy me for six Crown Burgers in Lebanon,"['six || party_size_number', 'Crown Burgers || restaurant_name', 'Lebanon || country']",semantic,,
Book me a reservation for  six  for  Crown Burgers  in  Lebanon,Keep me booked for 6 Crown Burgers in Lebanon,"['six || party_size_number', 'Crown Burgers || restaurant_name', 'Lebanon || country']",grammar,,
Book me a reservation for  six  for  Crown Burgers  in  Lebanon,Keep me booking for six Crown Burgers in Lebanon,"['six || party_size_number', 'Crown Burgers || restaurant_name', 'Lebanon || country']",grammar,,
Book me a reservation for  six  for  Crown Burgers  in  Lebanon,Keep me booked for six Crown Burgers in Lebanon,"['six || party_size_number', 'Crown Burgers || restaurant_name', 'Lebanon || country']",grammar,,
book a table in  CA  for  2  people  in 3 hours,booking a table in Central Asia for 2 people in 3 hours,"['CA || state', '2 || party_size_number', 'in 3 hours || timeRange']","acronym, wrong slot",,
book a table in  CA  for  2  people  in 3 hours,booking a table in Central Africa for 2 people in 3 hours,"['CA || state', '2 || party_size_number', 'in 3 hours || timeRange']","acronym, wrong slot",,
book a table in  CA  for  2  people  in 3 hours,book a table in Central Asia for 2 people in 3 hours,"['CA || state', '2 || party_size_number', 'in 3 hours || timeRange']","acronym, wrong slot",,
book a table in  CA  for  2  people  in 3 hours,booking a table in AC for 2 people in 3 hours,"['CA || state', '2 || party_size_number', 'in 3 hours || timeRange']","acronym, wrong slot",,
book a table in  CA  for  2  people  in 3 hours,book a table in Central Africa for 2 people in 3 hours,"['CA || state', '2 || party_size_number', 'in 3 hours || timeRange']","acronym, wrong slot",,
Book spot in  Fults  in  Federated States Of Micronesia,Book spot at Fults in the Federated Federal States of Micronesia,"['Fults || city', 'Federated States Of Micronesia || state']","grammar, redundant, wrong slot",,
Book spot in  Fults  in  Federated States Of Micronesia,Book spot at Fults in the Federated Countries of Micronesia,"['Fults || city', 'Federated States Of Micronesia || state']","spelling, grammar, wrong slot",,
Book spot in  Fults  in  Federated States Of Micronesia,Book spot at Fults in the Federated Nations of Micronesia,"['Fults || city', 'Federated States Of Micronesia || state']","spelling, grammar, wrong slot",,
Book spot in  Fults  in  Federated States Of Micronesia,Book spot at Fults in the Federated United States of Micronesia,"['Fults || city', 'Federated States Of Micronesia || state']","spelling, grammar, wrong slot",,
Book spot in  Fults  in  Federated States Of Micronesia,Book spot at Fults in the Federated States of Micronesia,"['Fults || city', 'Federated States Of Micronesia || state']","grammar, duplication",,
Book me a reservation at a  goan   restaurant  for  5  people,"Buy me a booking at a five-person goo restaurant,","['goan || cuisine', 'restaurant || restaurant_type', '5 || party_size_number']",homonym,,
Book me a reservation at a  goan   restaurant  for  5  people,Buy me a booking at a five-person goo restaurant:,"['goan || cuisine', 'restaurant || restaurant_type', '5 || party_size_number']","homonym, punctuation",,
Book me a reservation at a  goan   restaurant  for  5  people,Buy me a booking at a five-person goo restaurant.,"['goan || cuisine', 'restaurant || restaurant_type', '5 || party_size_number']",homonym,,
Book me a reservation at a  goan   restaurant  for  5  people,Buy me a booking at a five-person goo restaurant,"['goan || cuisine', 'restaurant || restaurant_type', '5 || party_size_number']",homonym,,
Book me a reservation at a  goan   restaurant  for  5  people,Buy me a booking at a five-person go-go restaurant,"['goan || cuisine', 'restaurant || restaurant_type', '5 || party_size_number']",homonym,,
Book a reservation for  9  people at the  best   osteria  restaurant,Buy a 9-person reservation at the finest restaurant,"['9 || party_size_number', 'best || sort', 'osteria || restaurant_type']",slot omission,,
Book a reservation for  9  people at the  best   osteria  restaurant,Buy a 9-person reservation at the finest osteria,"['9 || party_size_number', 'best || sort', 'osteria || restaurant_type']",correct,,
Book a reservation for  9  people at the  best   osteria  restaurant,Buy a 9-person reservation at the finest osteria.,"['9 || party_size_number', 'best || sort', 'osteria || restaurant_type']",correct,,
Book a reservation for  9  people at the  best   osteria  restaurant,Buy a 9-person reservation at the top osteria restaurant,"['9 || party_size_number', 'best || sort', 'osteria || restaurant_type']",correct,,
Book a reservation for  9  people at the  best   osteria  restaurant,Buy a 9-person reservation at the finest osteria restaurant,"['9 || party_size_number', 'best || sort', 'osteria || restaurant_type']",correct,,
I want to book a  bar   neighboring   our apartment .,I wants to book a bar next door to our apartment.,"['bar || restaurant_type', 'neighboring || spatial_relation', 'our apartment || poi']",grammar,,
I want to book a  bar   neighboring   our apartment .,I’m going to book the bar next door to our apartment.,"['bar || restaurant_type', 'neighboring || spatial_relation', 'our apartment || poi']",correct,,
I want to book a  bar   neighboring   our apartment .,I wants to book one bar next door to our apartment.,"['bar || restaurant_type', 'neighboring || spatial_relation', 'our apartment || poi']",grammar,,
I want to book a  bar   neighboring   our apartment .,I wants to book the bar next door to our apartment.,"['bar || restaurant_type', 'neighboring || spatial_relation', 'our apartment || poi']",grammar,,
I want to book a  bar   neighboring   our apartment .,I wants to book one bar next door to our flat .,"['bar || restaurant_type', 'neighboring || spatial_relation', 'our apartment || poi']",grammar,,
Book a reservation for a  pub  serving  croquembouche,Keep a book for a bar serving croquembouche,"['pub || restaurant_type', 'croquembouche || served_dish']",semantic,,
Book a reservation for a  pub  serving  croquembouche,Preserve a booking for a bar serving croquembouche,"['pub || restaurant_type', 'croquembouche || served_dish']",correct,,
Book a reservation for a  pub  serving  croquembouche,Keep a booking for a bar serving croquembouche,"['pub || restaurant_type', 'croquembouche || served_dish']",correct,,
Book a reservation for a  pub  serving  croquembouche,Keep a booking for a pub serving croquembouche,"['pub || restaurant_type', 'croquembouche || served_dish']",correct,,
Book a reservation for a  pub  serving  croquembouche,Keep a booking for a brothel serving croquembouche,"['pub || restaurant_type', 'croquembouche || served_dish']",correct,,
Book a reservation for an  indonesian   brasserie  on  9/13/2017,Booking a reservation to an Indonesian brewery on 9/13/2017 :,"['indonesian || cuisine', 'brasserie || restaurant_type', '9/13/2017 || timeRange']",punctuation,,
Book a reservation for an  indonesian   brasserie  on  9/13/2017,Booking a reservation to an Indonesian brewery on 9/13/2017,,"['indonesian || cuisine', 'brasserie || restaurant_type', '9/13/2017 || timeRange']",BookRestaurant,
Book a reservation for an  indonesian   brasserie  on  9/13/2017,Booking a reservation to an Indonesian brewery on 9/13/2017:,"['indonesian || cuisine', 'brasserie || restaurant_type', '9/13/2017 || timeRange']",punctuation,,
Book a reservation for an  indonesian   brasserie  on  9/13/2017,Booking a reservation to an Indonesian brewery on 9/13/2017.,"['indonesian || cuisine', 'brasserie || restaurant_type', '9/13/2017 || timeRange']",correct,,
Book a reservation for an  indonesian   brasserie  on  9/13/2017,Booking a reservation to an Indonesian brewery on 9/13/2017,"['indonesian || cuisine', 'brasserie || restaurant_type', '9/13/2017 || timeRange']",correct,,
I want to book a  restaurant   near   Oaktown .,I’m going to book an Oaktown restaurant..,"['restaurant || restaurant_type', 'near || spatial_relation', 'Oaktown || city']",slot omission,,
I want to book a  restaurant   near   Oaktown .,I’m going to book an Oaktown restaurant .,"['restaurant || restaurant_type', 'near || spatial_relation', 'Oaktown || city']",slot omission,,
I want to book a  restaurant   near   Oaktown .,I’m going to book an Oaktown restaurant.,"['restaurant || restaurant_type', 'near || spatial_relation', 'Oaktown || city']",slot omission,,
I want to book a  restaurant   near   Oaktown .,I’m going to be booking a cafe near Oaktown.,"['restaurant || restaurant_type', 'near || spatial_relation', 'Oaktown || city']",correct,,
I want to book a  restaurant   near   Oaktown .,I’m going to be booking a restaurant close to Oaktown.,"['restaurant || restaurant_type', 'near || spatial_relation', 'Oaktown || city']",correct,,
I want to book a  bar  in  Bonaparte   Palau .,I wants to book the bar at Bonaparte Palau.,"['bar || restaurant_type', 'Bonaparte || city', 'Palau || state']",grammar,,
I want to book a  bar  in  Bonaparte   Palau .,I wants to book the bar at Bonaparte Palau .,"['bar || restaurant_type', 'Bonaparte || city', 'Palau || state']",grammar,,
I want to book a  bar  in  Bonaparte   Palau .,I wanted to book one bar in Palau Bonaparte .,"['bar || restaurant_type', 'Bonaparte || city', 'Palau || state']",grammar,,
I want to book a  bar  in  Bonaparte   Palau .,I wants to book the bar in Palau Bonaparte .,"['bar || restaurant_type', 'Bonaparte || city', 'Palau || state']",grammar,,
I want to book a  bar  in  Bonaparte   Palau .,I wants to book one bar in Palau Bonaparte .,"['bar || restaurant_type', 'Bonaparte || city', 'Palau || state']",grammar,,
Book me a reservation for  8  at  fourteen  in  South Carolina,Keep me booked for 8 out of 14 in South California,"['8 || party_size_number', 'fourteen || timeRange', 'South Carolina || state']","slot omission, wrong slot",,
Book me a reservation for  8  at  fourteen  in  South Carolina,Keep me booked for 8 out of 14 in North Carolina,"['8 || party_size_number', 'fourteen || timeRange', 'South Carolina || state']",slot omission,,
Book me a reservation for  8  at  fourteen  in  South Carolina,Keep me booked for 8 out of 14 in South Carolina,"['8 || party_size_number', 'fourteen || timeRange', 'South Carolina || state']",slot omission,,
Book me a reservation for  8  at  fourteen  in  South Carolina,Keep me booked for 8 out of 14 in South Carolina.,"['8 || party_size_number', 'fourteen || timeRange', 'South Carolina || state']",slot omission,,
Book me a reservation for  8  at  fourteen  in  South Carolina,Keep me booked for 8 out of 14 in South Karolina,"['8 || party_size_number', 'fourteen || timeRange', 'South Carolina || state']",slot omission,,
I need a table for  seven  in  Honduras   within walking distance,I need one table for 7 in Honduras in walk distance,"['seven || party_size_number', 'Honduras || country', 'within walking distance || spatial_relation']",grammar,,
I need a table for  seven  in  Honduras   within walking distance,I need one table for nine in Honduras in walking distance,"['seven || party_size_number', 'Honduras || country', 'within walking distance || spatial_relation']",grammar,,
I need a table for  seven  in  Honduras   within walking distance,I need one table for 7 in Honduras in walking distance,"['seven || party_size_number', 'Honduras || country', 'within walking distance || spatial_relation']",grammar,,
I need a table for  seven  in  Honduras   within walking distance,I need one table for nine in Honduras within walking distance,"['seven || party_size_number', 'Honduras || country', 'within walking distance || spatial_relation']",correct,,
I need a table for  seven  in  Honduras   within walking distance,I need one table for 7 in Honduras within walking distance,"['seven || party_size_number', 'Honduras || country', 'within walking distance || spatial_relation']",correct,,
book a table for  midnight  for  6  in  Nesco,booking a desk for midnight for 6 at Nesco,"['midnight || timeRange', '6 || party_size_number', 'Nesco || city']",semantic,,
book a table for  midnight  for  6  in  Nesco,booking a table at midnight for 6 hours in Nesco,"['midnight || timeRange', '6 || party_size_number', 'Nesco || city']",correct,,
book a table for  midnight  for  6  in  Nesco,booking a table by midnight for 6 at Nesco,"['midnight || timeRange', '6 || party_size_number', 'Nesco || city']",correct,,
book a table for  midnight  for  6  in  Nesco,booking a table at midnight for 6 at Nesco,"['midnight || timeRange', '6 || party_size_number', 'Nesco || city']",correct,,
book a table for  midnight  for  6  in  Nesco,booking a table to midnight for 6 at Nesco,"['midnight || timeRange', '6 || party_size_number', 'Nesco || city']",correct,,
I want to book the  best   pub  for  one  person.,I'm going to book one of the best pubs for one person.,"['best || sort', 'pub || restaurant_type', 'one || party_size_number']",correct,,
I want to book the  best   pub  for  one  person.,I'm going to book out the finest pub for someone.,"['best || sort', 'pub || restaurant_type', 'one || party_size_number']",correct,,
I want to book the  best   pub  for  one  person.,I'm going to book one of the best pubs for a person.,"['best || sort', 'pub || restaurant_type', 'one || party_size_number']",correct,,
I want to book the  best   pub  for  one  person.,I'm going to book out the finest pub for one person.,"['best || sort', 'pub || restaurant_type', 'one || party_size_number']",correct,,
I want to book the  best   pub  for  one  person.,I'm going to book out the finest pub for just one person.,"['best || sort', 'pub || restaurant_type', 'one || party_size_number']",correct,,
book a party of  four  at a  highly rated   pub,booking a four-person party at a heavily rated bar,"['four || party_size_number', 'highly rated || sort', 'pub || restaurant_type']",correct,,
book a party of  four  at a  highly rated   pub,booking a four-person party at a top-rated bar,"['four || party_size_number', 'highly rated || sort', 'pub || restaurant_type']",correct,,
book a party of  four  at a  highly rated   pub,booking a four-person party at a popular pub,"['four || party_size_number', 'highly rated || sort', 'pub || restaurant_type']",correct,,
book a party of  four  at a  highly rated   pub,booking a four-person party at a heavily rated pub,"['four || party_size_number', 'highly rated || sort', 'pub || restaurant_type']",correct,,
book a party of  four  at a  highly rated   pub,booking a four-person party at a top-rated pub,"['four || party_size_number', 'highly rated || sort', 'pub || restaurant_type']",correct,,
Book me a reservation for a  ligurian   bar  in  Belgium,Buy Me a Reservation for a League Bar in Belgium,"['ligurian || cuisine', 'bar || restaurant_type', 'Belgium || country']","spelling, homonym, wrong slot",,
Book me a reservation for a  ligurian   bar  in  Belgium,Buy Me a Reservation for a Ligure Bar in Belgium,"['ligurian || cuisine', 'bar || restaurant_type', 'Belgium || country']",spelling,,
Book me a reservation for a  ligurian   bar  in  Belgium,Buy Me a Reservation for a Ligurian Bar in Brussels,"['ligurian || cuisine', 'bar || restaurant_type', 'Belgium || country']",spelling,,
Book me a reservation for a  ligurian   bar  in  Belgium,Buy Me a Reservation For a Ligurian Bar in Belgium,"['ligurian || cuisine', 'bar || restaurant_type', 'Belgium || country']",spelling,,
Book me a reservation for a  ligurian   bar  in  Belgium,Buy Me a Reservation for a Ligurian Bar in Belgium,"['ligurian || cuisine', 'bar || restaurant_type', 'Belgium || country']",spelling,,
Book me a reservation for a  puglia   restaurant  at  three,Buy me a booking for Puglia restaurant for three,"['puglia || cuisine', 'restaurant || restaurant_type', 'three || party_size_number']",correct,,
Book me a reservation for a  puglia   restaurant  at  three,Buy me a booking for Puglia restaurant at 3.,"['puglia || cuisine', 'restaurant || restaurant_type', 'three || party_size_number']","grammar, wrong slot",,
Book me a reservation for a  puglia   restaurant  at  three,Buy me a booking for Puglia restaurant at 3,"['puglia || cuisine', 'restaurant || restaurant_type', 'three || party_size_number']","grammar, wrong slot",,
Book me a reservation for a  puglia   restaurant  at  three,Buy me a booking for a Apulia restaurant at 3,"['puglia || cuisine', 'restaurant || restaurant_type', 'three || party_size_number']","grammar, wrong slot",,
Book me a reservation for a  puglia   restaurant  at  three,Buy me a booking for Puglia Restaurant at three,"['puglia || cuisine', 'restaurant || restaurant_type', 'three || party_size_number']","grammar, wrong slot",,
I want to book an  outdoor   restaurant  for  Sat .,I’m going to book the outdoor restaurant for Sat.,"['outdoor || facility', 'restaurant || restaurant_type', 'Sat || timeRange']",correct,,
I want to book an  outdoor   restaurant  for  Sat .,I’m going to book the outdoor restaurant of Sat.,"['outdoor || facility', 'restaurant || restaurant_type', 'Sat || timeRange']","grammar, wrong slot",,
I want to book an  outdoor   restaurant  for  Sat .,I wants to book outdoor restaurants for Sat.,"['outdoor || facility', 'restaurant || restaurant_type', 'Sat || timeRange']",grammar,,
I want to book an  outdoor   restaurant  for  Sat .,I’m going to book the outdoor restaurant for Set .,"['outdoor || facility', 'restaurant || restaurant_type', 'Sat || timeRange']","homonym, wrong slot",,
I want to book an  outdoor   restaurant  for  Sat .,I’m going to book the outdoor restaurant of Sat .,"['outdoor || facility', 'restaurant || restaurant_type', 'Sat || timeRange']","grammar, wrong slot",,
I want to book a  French Guiana   restaurant   indoor .,I wants to book an indoor French Guiana restaurant.,"['French Guiana || country', 'restaurant || restaurant_type', 'indoor || facility']",grammar,,
I want to book a  French Guiana   restaurant   indoor .,I wanted to book an indoor French Guyana restaurant.,"['French Guiana || country', 'restaurant || restaurant_type', 'indoor || facility']",grammar,,
I want to book a  French Guiana   restaurant   indoor .,I wanted to book an indoor French Guyana restaurant .,"['French Guiana || country', 'restaurant || restaurant_type', 'indoor || facility']",grammar,,
I want to book a  French Guiana   restaurant   indoor .,I wish to book an indoor French Guyana restaurant.,"['French Guiana || country', 'restaurant || restaurant_type', 'indoor || facility']",correct,,
I want to book a  French Guiana   restaurant   indoor .,I wish to book an indoor French Guyana restaurant .,"['French Guiana || country', 'restaurant || restaurant_type', 'indoor || facility']",correct,,
Book a reservation for  eight  at a  cafeteria   saturday,Booking a booking for eight in a café on Saturday,"['eight || party_size_number', 'cafeteria || restaurant_type', 'saturday || timeRange']",redundant,,
Book a reservation for  eight  at a  cafeteria   saturday,Booking a booking for eight on a cafeteria Saturday,"['eight || party_size_number', 'cafeteria || restaurant_type', 'saturday || timeRange']",redundant,,
Book a reservation for  eight  at a  cafeteria   saturday,Booking a booking for eight in a cafeteria Saturday,"['eight || party_size_number', 'cafeteria || restaurant_type', 'saturday || timeRange']",redundant,,
Book a reservation for  eight  at a  cafeteria   saturday,Book a booking for eight on a cafeteria Saturday,"['eight || party_size_number', 'cafeteria || restaurant_type', 'saturday || timeRange']",correct,,
Book a reservation for  eight  at a  cafeteria   saturday,Book a booking for eight in a cafeteria on Saturday,"['eight || party_size_number', 'cafeteria || restaurant_type', 'saturday || timeRange']",correct,,
I want to book a  restaurant  in  Reily   VT .,I would like to book a diner in Reilly VT.,"['restaurant || restaurant_type', 'Reily || city', 'VT || state']",correct,,
I want to book a  restaurant  in  Reily   VT .,I would like to book one restaurant at Reily VT.,"['restaurant || restaurant_type', 'Reily || city', 'VT || state']",correct,,
I want to book a  restaurant  in  Reily   VT .,I would like to book one restaurant at Reily VT .,"['restaurant || restaurant_type', 'Reily || city', 'VT || state']",correct,,
I want to book a  restaurant  in  Reily   VT .,I would like to book one restaurant at Reilly VT .,"['restaurant || restaurant_type', 'Reily || city', 'VT || state']",homonym,,
I want to book a  restaurant  in  Reily   VT .,I would like to book one restaurant in Raily VT .,"['restaurant || restaurant_type', 'Reily || city', 'VT || state']",homonym,,
I want to book  Mars 2112  in  Finland  for  four  people.,I would like to book March 2112 in Finland with four persons.,"['Mars 2112 || restaurant_name', 'Finland || country', 'four || party_size_number']","spelling, homonym",,
I want to book  Mars 2112  in  Finland  for  four  people.,I would like to book March 2112 in Finland with four individuals.,"['Mars 2112 || restaurant_name', 'Finland || country', 'four || party_size_number']",homonym,,
I want to book  Mars 2112  in  Finland  for  four  people.,"I would like to book March 2112 in Finland, for four people.","['Mars 2112 || restaurant_name', 'Finland || country', 'four || party_size_number']",homonym,,
I want to book  Mars 2112  in  Finland  for  four  people.,I would like to book March 2112 in Finland for 4 people.,"['Mars 2112 || restaurant_name', 'Finland || country', 'four || party_size_number']",homonym,,
I want to book  Mars 2112  in  Finland  for  four  people.,I would like to book March 2112 in Finland with four people.,"['Mars 2112 || restaurant_name', 'Finland || country', 'four || party_size_number']",homonym,,
I want to book a  restaurant  for  eight  in  Harding .,I wanted to book an eight-man restaurant in Harding.,"['restaurant || restaurant_type', 'eight || party_size_number', 'Harding || city']",grammar,,
I want to book a  restaurant  for  eight  in  Harding .,I wanted to book an eight-man restaurant in Harding .,"['restaurant || restaurant_type', 'eight || party_size_number', 'Harding || city']",grammar,,
I want to book a  restaurant  for  eight  in  Harding .,I wanted to book an eight-hour restaurant in Harding.,"['restaurant || restaurant_type', 'eight || party_size_number', 'Harding || city']","grammar, wrong slot",,
I want to book a  restaurant  for  eight  in  Harding .,I wanted to book an eight-hour restaurant in Harding .,"['restaurant || restaurant_type', 'eight || party_size_number', 'Harding || city']","grammar, wrong slot",,
I want to book a  restaurant  for  eight  in  Harding .,I wants to book an eight-hour restaurant in Harding.,"['restaurant || restaurant_type', 'eight || party_size_number', 'Harding || city']","grammar, wrong slot",,
I want to book an  oyster bar  for  one  in the  Navy Yard City .,I wants to book one ostrich bar in Navy Yard City.,"['oyster bar || restaurant_type', 'one || party_size_number', 'Navy Yard City || city']","grammar, homonym",,
I want to book an  oyster bar  for  one  in the  Navy Yard City .,I wants to book one ostrich bar in Navy Yard.,"['oyster bar || restaurant_type', 'one || party_size_number', 'Navy Yard City || city']","grammar, homonym",,
I want to book an  oyster bar  for  one  in the  Navy Yard City .,I wants to book one ostrich bar for another in Navy Yard Town.,"['oyster bar || restaurant_type', 'one || party_size_number', 'Navy Yard City || city']","grammar, homonym",,
I want to book an  oyster bar  for  one  in the  Navy Yard City .,I wants to book one ostrich bar for another in Navy Yard City.,"['oyster bar || restaurant_type', 'one || party_size_number', 'Navy Yard City || city']","grammar, homonym",,
I want to book an  oyster bar  for  one  in the  Navy Yard City .,I wants to book one ostrich bar for another in Navy Yard.,"['oyster bar || restaurant_type', 'one || party_size_number', 'Navy Yard City || city']","grammar, homonym",,
"Book a reservation for  one  at the  Blue Wall Cafe  in  Allakaket ,  MT","Keep a booking for one in the Blue-Wall Cafe inAllakaket, MT","['one || party_size_number', 'Blue Wall Cafe || restaurant_name', 'Allakaket || city', 'MT || state']",spelling,,
"Book a reservation for  one  at the  Blue Wall Cafe  in  Allakaket ,  MT","Keep a booking for one in the Blue-Wall Cafe at Allakaket, MT","['one || party_size_number', 'Blue Wall Cafe || restaurant_name', 'Allakaket || city', 'MT || state']",correct,,
"Book a reservation for  one  at the  Blue Wall Cafe  in  Allakaket ,  MT","Keep a booking for one in the Blue-Wall Cafe of Allakaket, MT","['one || party_size_number', 'Blue Wall Cafe || restaurant_name', 'Allakaket || city', 'MT || state']",correct,,
"Book a reservation for  one  at the  Blue Wall Cafe  in  Allakaket ,  MT","Keep a booking for one in the Blue-Wall Cafe in Allakaket, MT","['one || party_size_number', 'Blue Wall Cafe || restaurant_name', 'Allakaket || city', 'MT || state']",correct,,
"Book a reservation for  one  at the  Blue Wall Cafe  in  Allakaket ,  MT","Keep a booking for one in the Blue-Wall Café in Allakaket, MT","['one || party_size_number', 'Blue Wall Cafe || restaurant_name', 'Allakaket || city', 'MT || state']",correct,,
book a party of  9  for  The Wieners Circle  in  Palau,"booked a 9 party for ""The Wieners Circle"" in","['9 || party_size_number', 'The Wieners Circle || restaurant_name', 'Palau || state']","answering, slot omission",,
book a party of  9  for  The Wieners Circle  in  Palau,book a 9 party for The Viennese Circle in Palau,"['9 || party_size_number', 'The Wieners Circle || restaurant_name', 'Palau || state']",homonym,,
book a party of  9  for  The Wieners Circle  in  Palau,booked a 9 party for The Viennese Circle in Palau,"['9 || party_size_number', 'The Wieners Circle || restaurant_name', 'Palau || state']","homonym, answering",,
book a party of  9  for  The Wieners Circle  in  Palau,"booked a 9 party for ""The Wiener Circle"" in Palau","['9 || party_size_number', 'The Wieners Circle || restaurant_name', 'Palau || state']","homonym, answering",,
book a party of  9  for  The Wieners Circle  in  Palau,"booked a 9 party for ""The Wieners Circle"" in Palau","['9 || party_size_number', 'The Wieners Circle || restaurant_name', 'Palau || state']",answering,,
I want to book an  oyster bar  for  five  people.,I wants to book one ostrich bar for five.,"['oyster bar || restaurant_type', 'five || party_size_number']","grammar, homonym",,
I want to book an  oyster bar  for  five  people.,I wants to book one ostrich bar with five people.,"['oyster bar || restaurant_type', 'five || party_size_number']","grammar, homonym",,
I want to book an  oyster bar  for  five  people.,I wants to book one ostrich bar for cinco people.,"['oyster bar || restaurant_type', 'five || party_size_number']","spelling, grammar, homonym",,
I want to book an  oyster bar  for  five  people.,I wants to book one ostrich bar for four people.,"['oyster bar || restaurant_type', 'five || party_size_number']","grammar, homonym",,
I want to book an  oyster bar  for  five  people.,I wants to book one ostrich bar for 5 people.,"['oyster bar || restaurant_type', 'five || party_size_number']","grammar, homonym",,
Lets eat in  Little Eagle  on  May nineteenth  for  7  people,Let's eat in the Little Eagle May 19 for 7 people,"['Little Eagle || city', 'May nineteenth || timeRange', '7 || party_size_number']",grammar,,
Lets eat in  Little Eagle  on  May nineteenth  for  7  people,Let's eat at Little Eagle May 19th for 7 people,"['Little Eagle || city', 'May nineteenth || timeRange', '7 || party_size_number']",grammar,,
Lets eat in  Little Eagle  on  May nineteenth  for  7  people,Let's eat at Little Eagle 19 May for 7 people,"['Little Eagle || city', 'May nineteenth || timeRange', '7 || party_size_number']",grammar,,
Lets eat in  Little Eagle  on  May nineteenth  for  7  people,Let's eat on Little Eagle May 19 for 7 people,"['Little Eagle || city', 'May nineteenth || timeRange', '7 || party_size_number']",grammar,,
Lets eat in  Little Eagle  on  May nineteenth  for  7  people,Let's eat at Little Eagle May 19 for 7 people,"['Little Eagle || city', 'May nineteenth || timeRange', '7 || party_size_number']",grammar,,
book spot for  eight  at a  bar  that serves  pastelaria,Book spot to eight in a bar serving pastelaria.,"['eight || party_size_number', 'bar || restaurant_type', 'pastelaria || cuisine']",grammar,,
book spot for  eight  at a  bar  that serves  pastelaria,Book spot to eight in a bar serving pastelaria,"['eight || party_size_number', 'bar || restaurant_type', 'pastelaria || cuisine']",grammar,,
book spot for  eight  at a  bar  that serves  pastelaria,Book spot for 8 in a bar serving pastelaria,"['eight || party_size_number', 'bar || restaurant_type', 'pastelaria || cuisine']",grammar,,
book spot for  eight  at a  bar  that serves  pastelaria,Book spot for eight in a bar serving pastelaria,"['eight || party_size_number', 'bar || restaurant_type', 'pastelaria || cuisine']",grammar,,
